TABLE_NAME,COLUMN_NAME,DATA_TYPE,MAX_LENGTH,PRECISION,SCALE,IS_NULLABLE,COLUMN_ORDER,ROW_COUNT
'Invoice by Epi$',Project_Key,FLOAT,,,,1,1,1008385
'Invoice by Epi$',Project,TEXT,127,,,1,2,1008385
'Invoice by Epi$',Queue,TEXT,127,,,1,3,1008385
'Invoice by Epi$',Reference,FLOAT,,,,1,4,1008385
'Invoice by Epi$',File_Name,TEXT,127,,,1,5,1008385
'Invoice by Epi$',Billing Type,TEXT,127,,,1,6,1008385
'Invoice by Epi$',Price Per Chart,FLOAT,,,,1,7,1008385
'Invoice by Epi$',Invoice No,FLOAT,,,,1,8,1008385
'Invoice by Epi$',Invoice Date,TEXT,127,,,1,9,1008385
'Invoice by Epi$',Invoice Comments,TEXT,127,,,1,10,1008385
231 Records Correction,ChartId,NUMBER,,38,0,0,1,231
231 Records Correction,Importeddate,TEXT,255,,,0,2,231
231 Records Correction,ReceivedDate,TEXT,255,,,0,3,231
231 Records Correction,Encounters,TEXT,25,,,0,4,231
231 Records Correction,L1StartDate,TEXT,255,,,1,5,231
231 Records Correction,L1EndDate,TEXT,255,,,1,6,231
231 Records Correction,L1EmpID,TEXT,25,,,0,7,231
231 Records Correction,L1NumberOfDxCodes,TEXT,25,,,0,8,231
231 Records Correction,L1CompletionDate,TEXT,255,,,1,9,231
231 Records Correction,column10,TEXT,16777216,,,1,10,231
231 Records Correction,Importeddate2,TEXT,255,,,0,11,231
231 Records Correction,ReceivedDate2,TEXT,255,,,0,12,231
231 Records Correction,Encounters2,TEXT,255,,,0,13,231
231 Records Correction,L1StartDate2,TEXT,255,,,0,14,231
231 Records Correction,L1EndDate2,TEXT,255,,,0,15,231
231 Records Correction,L1EmpID2,TEXT,25,,,0,16,231
231 Records Correction,L1NumberOfDxCodes2,TEXT,255,,,0,17,231
231 Records Correction,L1CompletionDate2,TEXT,255,,,0,18,231
A,ID,NUMBER,,38,0,1,1,5
AHN_File_update,ChartId,FLOAT,,,,1,1,59
AHN_File_update,ClientKey,FLOAT,,,,1,2,59
AHN_File_update,Client,TEXT,127,,,1,3,59
AHN_File_update,ProjectKey,FLOAT,,,,1,4,59
AHN_File_update,Project,TEXT,127,,,1,5,59
AHN_File_update,Queue,TEXT,127,,,1,6,59
AHN_File_update,ClientMarket,TEXT,127,,,1,7,59
AHN_File_update,ClientReference,FLOAT,,,,1,8,59
AHN_File_update,OldFileName,TEXT,127,,,1,9,59
AHN_File_update,NewFileName,TEXT,127,,,1,10,59
AdminErrorStatus,Id,NUMBER,,38,0,0,1,3
AdminErrorStatus,ErrorStatus,TEXT,50,,,1,2,3
AlterMail_Config,Id,NUMBER,,38,0,0,1,3
AlterMail_Config,JobName,TEXT,250,,,1,2,3
AlterMail_Config,MailAddress,TEXT,500,,,1,3,3
Archive_Prior_2024_ChartAudit,Id,TEXT,255,,,0,1,1087
Archive_Prior_2024_ChartAudit,ChartMoreInfoId,TEXT,255,,,0,2,1087
Archive_Prior_2024_ChartAudit,PageNumbers,TEXT,50,,,0,3,1087
Archive_Prior_2024_ChartAudit,CorrectedValue,TEXT,50,,,0,4,1087
Archive_Prior_2024_ChartAudit,Comments,TEXT,16777216,,,0,5,1087
Archive_Prior_2024_ChartAudit,AdditionalComments,TEXT,16777216,,,1,6,1087
Archive_Prior_2024_ChartAudit,ErrorCategoryId,NUMBER,,38,0,0,7,1087
